Description,UNSPSC
blasting cap,12130000
detonator,12130000
explosive fuse,12130000
explosive initiator,12130000
explosive primer,12130000
match,12130000
lighter,12130000
detonator box,12130000
explosive tamper,12130000
powder propellant,12130000
solid propellant,12130000
gun propellant,12130000
high energy propellant,12130000
gel propellant,12130000
hybrid propellant,12130000
affinity label,12160000
cross link agent,12160000
reagent kit,12160000
sulfhydryl reagent,12160000
intercalate agent,12160000
divert agent,12160000
cupferron reagent,12160000
acid catalyst,12160000
combustion catalyst,12160000
custom catalyst,12160000
crack catalyst,12160000
treat catalyst,12160000
reform catalyst,12160000
decomposition catalyst,12160000
ampholyte mixture,12160000
bicarbonate buffer,12160000
buffer,12160000
acid buffer,12160000
basic buffer,12160000
neutral buffer,12160000
gel,12160000
suspension,12160000
aerosol,12160000
emulsion,12160000
natural gelling agent,12160000
synthetic gelling agent,12160000
gel stabilizer,12160000
suspend agent,12160000
silicone gel,12160000
anti foam agent,12160000
detergent surfactant,12160000
foam agent,12160000
disperse agent,12160000
flush,12160000
wet agent,12160000
water flood additive,12160000
alkyl sulfate,12160000
betaine surfactant,12160000
ether sulfate,12160000
quaternary,12160000
sultaines,12160000
spray adjuvant,12160000
polymerics,12160000
agricultural oil,12160000
sulfonamide,12160000
glutarates,12160000
aromatic ester plasticizer,12160000
polyols,12160000
prepolymers,12160000
brominate retardant,12160000
ascorbic acid,12160000
butylate hydroxyanisole,12160000
butylate hydroxytoluene,12160000
calcium citrate,12160000
canthaxanthin,12160000
melatonin,12160000
nordihydroguaiaretic acid,12160000
propyl gallate,12160000
silymarin,12160000
sulfur dioxide,12160000
ubiquinone coenzyme q,12160000
waterborne curing agent,12160000
cement accelerator,12160000
cement retarders,12160000
adhesive accelerator,12160000
concrete additive,12160000
acidic polymer breaker,12160000
organic polymer breaker,12160000
water oil emulsion breaker,12160000
flotation aid,12160000
inorganic clay stabilizer,12160000
organic clay stabilizer,12160000
natural polymer fluid loss additive,12160000
modify polymer fluid loss additive,12160000
anionic friction reducer,12160000
cationic friction reducer,12160000
solvent paraffin asphaltene control agent,12160000
crystal modify paraffin asphaltene control agent,12160000
dispersant paraffin asphaltene control agent,12160000
mud cleanout agent,12160000
anti sludge additive,12160000
deflocculant,12160000
anti gas migration additive,12160000
cement expand agent,12160000
cement extenders,12160000
cement sealant,12160000
oil production corrosion inhibitor,12160000
gas production corrosion inhibitor,12160000
kinetic hydrate,12160000
hydrogen sulfide scavenger,12160000
oxygen scavenger,12160000
situ additive,12160000
acid additive,12160000
acid corrosion inhibitor,12160000
combustion inhibitor,12160000
iron control additive,12160000
iron sequestering agent,12160000
iron corrosion inhibitor,12160000
non emulsify additive,12160000
size agent,12160000
thicken agent,12160000
optical brightener,12160000
antistatic agent,12160000
light ultraviolet uv stabilizer,12160000
antiseptic additive,12160000
cement water reduce agent,12160000
water swell stop agent,12160000
structural water repellent,12160000
urethane waterproof coating,12160000
asphalt waterproof coating,12160000
epoxy waterproof coating,12160000
inorganic waterproof coating,12160000
waterproof admixture,12160000
polyurea waterproof coating,12160000
concrete non shrinkage agent,12160000
polymer gel,12160000
dispersant surfactant,12160000
alkali polymer surfactant asp,12160000
surfactant polymer sp,12160000
synthetic wax,12180000
natural wax,12180000
paraffin,12180000
petrolatum,12180000
synthetic oil,12180000
natural oil,12180000
aromatic solvent,12190000
aliphatic solvent,12190000
phenol substitute derivative,12190000
cyclic alkane,12190000
alcohol solvent,12190000
active solvent,12190000
wood rosin,13110000
gum rosin,13110000
tall oil rosin,13110000
polyethylene film,13110000
polyurethane film,13110000
acetate film,13110000
acrylic film,13110000
coextruded film,13110000
flouropolymer film,13110000
metalize film,13110000
nylon film,13110000
polycarbonate film,13110000
polyester film,13110000
polypropylene film,13110000
biaxially orientate polypropylene,13110000
polymide film,13110000
polystyrene film,13110000
flexible polyvinyl chloride film,13110000
rigid polyvinyl chloride film,13110000
ethylene vinyl alcohol film,13110000
polyvinylidene chloride,13110000
polyvinyl alcohol film,13110000
silicone coat film,13110000
polyolefin foam,13110000
polyether foam,13110000
silicone foam,13110000
ethylene propylene terpolymer foam,13110000
foam,13110000
polyvinyl chloride foam,13110000
rubber foam,13110000
polystyrene foam,13110000
polyurethane foam,13110000
ethylene vinyl acetate foam,13110000
